ibge,nome,nome_normalizado,uf,latitude,longitude
1100015,Alta Floresta D'Oeste,ALTA FLORESTA D OESTE,RO,-11.9283,-61.9953
1100023,Ariquemes,ARIQUEMES,RO,-9.90571,-63.0325
1100031,Cabixi,CABIXI,RO,-13.4945,-60.552
1100049,Cacoal,CACOAL,RO,-11.4343,-61.4562
1100056,Cerejeiras,CEREJEIRAS,RO,-13.187,-60.8168
1100064,Colorado do Oeste,COLORADO DO OESTE,RO,-13.1174,-60.5454
1100072,Corumbiara,CORUMBIARA,RO,-12.9551,-60.8947
1100080,Costa Marques,COSTA MARQUES,RO,-12.4367,-64.228
1100098,Espigão D'Oeste,ESPIGAO D OESTE,RO,-11.5266,-61.0252
1100106,Guajará-Mirim,GUAJARA MIRIM,RO,-10.7889,-65.3296
1100114,Jaru,JARU,RO,-10.4318,-62.4788
1100122,Ji-Paraná,JI PARANA,RO,-10.8777,-61.9322
1100130,Machadinho D'Oeste,MACHADINHO D OESTE,RO,-9.44363,-61.9818
1100148,Nova Brasilândia D'Oeste,NOVA BRASILANDIA D OESTE,RO,-11.7247,-62.3127
1100155,Ouro Preto do Oeste,OURO PRETO DO OESTE,RO,-10.7167,-62.2565
1100189,Pimenta Bueno,PIMENTA BUENO,RO,-11.672,-61.198
1100205,Porto Velho,PORTO VELHO,RO,-8.76077,-63.8999
1100254,Presidente Médici,PRESIDENTE MEDICI,RO,-11.169,-61.8986
1100262,Rio Crespo,RIO CRESPO,RO,-9.69965,-62.9011
1100288,Rolim de Moura,ROLIM DE MOURA,RO,-11.7271,-61.7714
1100296,Santa Luzia D'Oeste,SANTA LUZIA D OESTE,RO,-11.9074,-61.7777
1100304,Vilhena,VILHENA,RO,-12.7502,-60.1488
1100320,São Miguel do Guaporé,SAO MIGUEL DO GUAPORE,RO,-11.6953,-62.7192
1100338,Nova Mamoré,NOVA MAMORE,RO,-10.4077,-65.3346
1100346,Alvorada D'Oeste,ALVORADA D OESTE,RO,-11.3463,-62.2847
1100379,Alto Alegre dos Parecis,ALTO ALEGRE DOS PARECIS,RO,-12.132,-61.835
1100403,Alto Paraíso,ALTO PARAISO,RO,-9.71429,-63.3188
1100452,Buritis,BURITIS,RO,-10.1943,-63.8324
1100502,Novo Horizonte do Oeste,NOVO HORIZONTE DO OESTE,RO,-11.6961,-61.9951
1100601,Cacaulândia,CACAULANDIA,RO,-10.349,-62.9043
1100700,Campo Novo de Rondônia,CAMPO NOVO DE RONDONIA,RO,-10.5712,-63.6266
1100809,Candeias do Jamari,CANDEIAS DO JAMARI,RO,-8.7907,-63.7005
1100908,Castanheiras,CASTANHEIRAS,RO,-11.4253,-61.9482
1100924,Chupinguaia,CHUPINGUAIA,RO,-12.5611,-60.8877
1100940,Cujubim,CUJUBIM,RO,-9.36065,-62.5846
1101005,Governador Jorge Teixeira,GOVERNADOR JORGE TEIXEIRA,RO,-10.61,-62.7371
1101104,Itapuã do Oeste,ITAPUA DO OESTE,RO,-9.19687,-63.1809
1101203,Ministro Andreazza,MINISTRO ANDREAZZA,RO,-11.196,-61.5174
1101302,Mirante da Serra,MIRANTE DA SERRA,RO,-11.029,-62.6696
1101401,Monte Negro,MONTE NEGRO,RO,-10.2458,-63.29
1101435,Nova União,NOVA UNIAO,RO,-10.9068,-62.5564
1101450,Parecis,PARECIS,RO,-12.1754,-61.6032
1101468,Pimenteiras do Oeste,PIMENTEIRAS DO OESTE,RO,-13.4823,-61.0471
1101476,Primavera de Rondônia,PRIMAVERA DE RONDONIA,RO,-11.8295,-61.3153
1101484,São Felipe D'Oeste,SAO FELIPE D OESTE,RO,-11.9023,-61.5026
1101492,São Francisco do Guaporé,SAO FRANCISCO DO GUAPORE,RO,-12.052,-63.568
1101500,Seringueiras,SERINGUEIRAS,RO,-11.8055,-63.0182
1101559,Teixeirópolis,TEIXEIROPOLIS,RO,-10.9056,-62.242
1101609,Theobroma,THEOBROMA,RO,-10.2483,-62.3538
1101708,Urupá,URUPA,RO,-11.1261,-62.3639
1101757,Vale do Anari,VALE DO ANARI,RO,-9.86215,-62.1876
1101807,Vale do Paraíso,VALE DO PARAISO,RO,-10.4465,-62.1352
1200013,Acrelândia,ACRELANDIA,AC,-9.82581,-66.8972
1200054,Assis Brasil,ASSIS BRASIL,AC,-10.9298,-69.5738
1200104,Brasiléia,BRASILEIA,AC,-10.995,-68.7497
1200138,Bujari,BUJARI,AC,-9.81528,-67.955
1200179,Capixaba,CAPIXABA,AC,-10.566,-67.686
1200203,Cruzeiro do Sul,CRUZEIRO DO SUL,AC,-7.62762,-72.6756
1200252,Epitaciolândia,EPITACIOLANDIA,AC,-11.0188,-68.7341
1200302,Feijó,FEIJO,AC,-8.17054,-70.351
1200328,Jordão,JORDAO,AC,-9.1908,-71.9503
1200336,Mâncio Lima,MANCIO LIMA,AC,-7.61657,-72.8997
1200344,Manoel Urbano,MANOEL URBANO,AC,-8.83291,-69.2679
1200351,Marechal Thaumaturgo,MARECHAL THAUMATURGO,AC,-8.93898,-72.7997
1200385,Plácido de Castro,PLACIDO DE CASTRO,AC,-10.2806,-67.1371
